Song,Artist,Album,Date Added,,,
Symphony No.5 In C Sharp Minor: 4. Adagietto (Sehr langsam),Gustav Mahler Berliner Philharmoniker Herbert von Karajan,Mahler: Symphony No.5,2016-06-14T05:48:08Z,,,
"Water Music Suite No.2 in D, HWV 349: 11. Allegro",George Frideric Handel English Baroque Soloists John Eliot Gardiner,Handel: Music for The Royal Fireworks/Water Music,2016-06-14T05:48:08Z,,,
"Romeo and Juliet, Op.64 - Act 1: Dance Of the Knights",Sergei Prokofiev Cleveland Orchestra Lorin Maazel,Prokofiev: Romeo & Juliet (2 CDs),2016-06-14T05:48:08Z,,,
"Piano Sonata in B minor, S.178: Lento assai - Allegro energico - Grandioso - Recitativo",Franz Liszt Sviatoslav Richter,Liszt: The Two Piano Concertos/The Piano Sonata,2016-06-14T05:48:08Z,,,
"Piano Concerto No.2 In C Minor, Op.18: 1. Moderato",Sergei Rachmaninoff Sviatoslav Richter Warsaw National Philharmonic Orchestra Stanis¿aw Wis¿ocki,Rachmaninov: Piano Concerto No.2 / Tchaikovsky: Piano Concerto No.1,2016-06-14T05:48:08Z,,,
"Ballade No. 1 in G minor, Op. 23: Largo - Moderato - Meno mosso - Presto con fuoco",Frédéric Chopin Vladimir Horowitz,Horowitz: The Historic Return; Carnegie Hall 1965; The 1966 Concerts,2016-06-14T05:48:08Z,,,
"Symphony No.9 in E minor, Op.95 ""From the New World"": 4. Allegro con fuoco",Antonín Dvo¿ák London Symphony Orchestra István Kertész,Dvorák: Symphonies Nos.8 & 9,2016-06-14T05:48:08Z,,,
Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini Academy of St. Martin in the Fields Sir Neville Marriner,Rossini: Complete Overtures (3 CDs),2016-06-14T05:48:08Z,,,
"Carmina Burana / 2. In Taberna: ""In taberna quando sumus""",Carl Orff Chor der Deutschen Oper Berlin Orchester der Deutschen Oper Berlin Eugen Jochum,Orff: Carmina Burana,2016-06-14T05:48:08Z,,,
Symphony No.6 In A Minor: 3. Andante moderato,Gustav Mahler Wiener Philharmoniker Leonard Bernstein,Mahler: Symphony No.6; Kindertotenlieder (2 CDs),2016-06-14T05:48:08Z,,,
"Piano Trio in E flat, H.XV No.10: 2. Presto",Franz Joseph Haydn Beaux Arts Trio,Haydn: Complete Piano Trios (9 CDs),2016-06-14T05:48:08Z,,,
"12 Etudes, Op.10: No.1 In C",Frédéric Chopin Maurizio Pollini,Chopin,2016-06-14T05:48:08Z,,,
"Adagio For Strings, Op. 11",Royal Scottish National Orchestra Samuel Barber,Samuel Barber: Orchestral Works Volume 2 - Cello Concerto/Medea (Suite)/Adagio For Strings,2016-06-14T05:48:08Z,,,
"Sonata in F Major, K. 533: III. Allegretto",Richard Goode,Mozart,2016-06-14T05:48:08Z,,,
The Lark Ascending,Ralph Vaughan Williams Sarah Chang Bernard Haitink London Philharmonic Orchestra,Ralph Vaughan Williams - The Lark Ascending; Tallis Fantasia,2016-06-14T05:48:08Z,,,
"Symphony No. 5 in D Minor, Op. 47: I. Moderato",Dmitri Shostakovich Leonard Bernstein,Shostakovich: Symphony Nos. 5 & 9,2016-06-14T05:48:08Z,,,
"Waldszenen, Op.82: 3. Einsame Blumen",Robert Schumann Mitsuko Uchida,Schumann: G Minor Sonata; Waldszenen; Gesänge der Frühe,2016-06-14T05:48:08Z,,,
"Violin Concerto in E minor, Op.64: 1. Allegro molto appassionato",Felix Mendelssohn Kyung Wha Chung Orchestre Symphonique de Montréal Charles Dutoit,Mendelssohn: Violin Concerto / Bruch: Violin Concerto / Scottish Fantasy,2016-06-14T05:48:08Z,,,
"Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach Zhu Xiao-Mei,Bach: Goldberg Variations,2016-06-14T05:48:08Z,,,
"String Quintet In C, D. 956: 2. Adagio",Franz Schubert Mstislav Rostropovich Emerson String Quartet,"Schubert: String Quintet In C Major D.956, Op. Posth. 163",2016-06-14T05:48:08Z,,,
Vier letzte Lieder: 2. September,Richard Strauss Jessye Norman Gewandhausorchester Leipzig Kurt Masur,"Strauss, R.: Four Last Songs, etc.",2016-06-14T05:48:08Z,,,
"Piano Sonata in B Flat Major, D. 960: I. Molto moderato",Franz Schubert Paul Lewis,Schubert: The Late Piano Sonatas,2016-06-14T05:48:08Z,,,
"Winterreise, D.911, Erste Abteilung: Gute Nacht",Franz Schubert Ian Bostridge,Schubert: Winterreise,2016-06-14T05:48:08Z,,,
Simple Song #3,David Lang Sumi Jo,Youth (Original Motion Picture Soundtrack),2016-06-14T05:48:08Z,,,
"Messiah, HWV 56, Pt. 2: Part II: Hallelujah","George Frideric Handel Choir of New College, Oxford Academy of Ancient Music Edward Higginbottom","Handel: Messiah, HWV 56 (1751 Version)",2016-06-14T05:48:08Z,,,
"Symphony No. 4 in E-Flat Major, ""Romantic"": I. Bewegt, nicht zu schnell",Anton Bruckner Günter Wand,Anton Bruckner: Symphonie Nr. 4,2016-06-14T05:48:08Z,,,
"Piano Sonata in C major, K. 545: I. Allegro",Wolfgang Amadeus Mozart Kristian Bezuidenhout,Mozart: Keyboard Music Vols. 8 & 9,2016-06-14T05:48:08Z,,,
"Violin Concerto No. 5 in A Major, K. 219, ""Turkish"": III. Tempo di menuetto",Wolfgang Amadeus Mozart Arabella Steinbacher Lucerne Festival Strings,"Mozart: Violin Concertos Nos. 3, 4 & 5",2016-06-14T05:48:08Z,,,
"Wachet auf, ruft uns die Stimme, BWV 140: Chorale: Zion hort die Wachter singen (Chorus)",Johann Sebastian Bach Susan Hamilton William Kendall Peter Harvey The Monteverdi Choir English Baroque Soloists John Eliot Gardiner,"Bach: Cantatas, Vol. 12",2016-06-14T05:48:08Z,,,
"4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto",Franz Schubert Radu Lupu,Schubert: Impromptus Opp.90 & 142,2016-06-14T05:48:08Z,,,
Cantus in memoriam Benjamin Britten,Arvo Pärt Antal Eisrich Hungarian State Opera Orchestra Strings Tamás Benedek,Part: Arvo Part - A Portrait (Kimberley),2016-06-14T05:48:08Z,,,
"Nocturne No.1 in B flat minor, Op.9 No.1",Frédéric Chopin Nelson Freire,Chopin: The Nocturnes,2016-06-14T05:48:08Z,,,
"Piano Concerto No. 1 in B-Flat Minor, Op. 23: Allegro non troppo e molto maestoso",Pyotr Ilyich Tchaikovsky Van Cliburn Kirill Kondrashin,Tchaikovsky: Concerto No. 1/Rachmaninoff: Concerto No. 2,2016-06-14T05:48:08Z,,,
"Cello Concerto in B Minor, Op. 104, B. 191: II. Adagio ma non troppo",Antonín Dvo¿ák Jean-Guihen Queyras Ji¿í B¿lohlávek Prague Philharmonia,Dvo¿ák: Cello Concerto,2016-06-14T05:48:08Z,,,
"Concerto for Piano and Orchestra No. 4 in G Major, Op. 58: II. Andante con moto",Ludwig van Beethoven Leif Ove Andsnes,Beethoven: Piano Concertos Nos.2 & 4,2016-06-14T05:48:08Z,,,
"Concerto for Piano and Orchestra No. 22, K. 482: III. Allegro",Wolfgang Amadeus Mozart Imogen Cooper Northern Sinfonia,Mozart: Piano Concertos 18 & 22,2016-06-14T05:48:08Z,,,
"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: Prélude",Yo-Yo Ma,"Bach: Cello Suites Nos. 1, 5 & 6",2016-06-14T05:48:08Z,,,
"Ballade No. 3, Op. 47 in A-flat",Frédéric Chopin Arthur Rubinstein,"Rubinstein Collection, Vol. 45 :Chopin: Ballades, Scherzi, Tarantelle",2016-06-14T05:48:08Z,,,
100s,Borgore,100s,2016-06-22T17:13:22Z,,,
Bricks,Carnage Migos,Papi Gordo,2016-06-22T17:13:22Z,,,
FDT,YG Nipsey Hussle,FDT,2016-06-22T17:13:22Z,,,
Fuck Donald Trump,Nipsey Hussle YG,Fuck Donald Trump,2016-06-22T17:13:22Z,,,
Roll Up (Baauer Remix) - Infuze Re-Roll,Flosstradamus Baauer Infuze,Roll Up (Baauer Remix) [Infuze Re-Roll],2016-06-22T17:13:22Z,,,
No Hands [feat. Roscoe Dash and Wale],Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2016-06-22T17:13:22Z,,,
Decisions (feat. Miley Cyrus),Borgore Miley Cyrus,#NEWGOREORDER LUXE (Deluxe Edition),2016-06-22T17:13:22Z,,,
Know Yourself,Drake,If You're Reading This It's Too Late,2016-06-22T17:13:22Z,,,
Raw to the Floor,Axel Boy,3rd Degree - EP,2016-06-22T17:13:22Z,,,
Law,Yo Gotti E-40,The Art of Hustle (Deluxe),2016-06-22T17:13:22Z,,,
WDYW,Carnage Lil Uzi Vert A$AP Ferg Rich The Kid,Papi Gordo,2016-06-22T17:13:22Z,,,
Fight Night,Migos,No Label II,2016-06-22T17:13:22Z,,,
TurnUp,Gent & Jawns,All Trap Music,2016-06-22T17:13:22Z,,,
I Don't Fuck With You,Big Sean E-40,Dark Sky Paradise,2016-06-22T17:13:22Z,,,
Bap U,Party Favor,Bap U,2016-06-22T17:13:22Z,,,
Gotta Lotta,2 Chainz Lil Wayne,COLLEGROVE,2016-06-22T17:13:22Z,,,
Keep It Mello (feat. Omar Linx),Marshmello Omar LinX,Joytime,2016-06-22T17:13:22Z,,,
When I Feel Like It,Fabolous 2 Chainz,When I Feel Like It,2016-06-22T17:13:22Z,,,
Frogbass - Original Mix,Snails,Frogbass,2016-06-22T17:13:22Z,,,
Millions,Pusha T Rick Ross,Millions,2016-06-22T17:13:22Z,,,
Blast Ya (feat. Barrington Levy),Borgore Barrington Levy,Blast Ya (feat. Barrington Levy),2016-06-22T17:13:22Z,,,
In My Room (feat. Ty Dolla $ign & Tyga),DJ Mustard Yellow Claw Tyga Ty Dolla $ign,Blood For Mercy,2016-06-22T17:13:22Z,,,
Spooked,Bro Safari feat. DJ Craze Bro Safari DJ Craze,All Trap Music,2016-06-22T17:13:22Z,,,
Working For It,ZHU Skrillex THEY.,Genesis Series,2016-06-22T17:13:22Z,,,
Check,Meek Mill,Check,2016-06-22T17:13:22Z,,,
Do Or Die (feat. Childish Gambino),Flux Pavilion Childish Gambino,Blow The Roof,2016-06-22T17:13:22Z,,,
Cant Squad with Us,Borgore,The Buygore Album,2016-06-22T17:13:22Z,,,
Back To Back,Drake,Back To Back,2016-06-22T17:13:22Z,,,
Booty Gyal,Creaky Jackals,Booty Gyal - Single,2016-06-22T17:13:22Z,,,
Febreze (feat. 2 Chainz),Jack Ü Skrillex Diplo 2 Chainz,Skrillex and Diplo present Jack Ü,2016-06-22T17:13:22Z,,,
Hit the Quan - Original Version,iLoveMemphis,Hit the Quan,2016-06-22T17:13:22Z,,,
Kyoto - feat. Sirah,Skrillex,Big Beat Yearbook: 2012,2016-06-22T17:13:22Z,,,
Rambo,Bryson Tiller,T R A P S O U L,2016-06-22T17:13:22Z,,,
Wild Out (feat. Waka Flocka Flame & Paige),Borgore Waka Flocka Flame Paige,Wild Out (feat. Waka Flocka Flame & Paige) [Remixes],2016-06-22T17:13:22Z,,,
Gordo,Carnage Rick Ross araabMUZIK,Papi Gordo,2016-06-22T17:13:22Z,,,
I Like Tuh,Carnage ILoveMakonnen,Papi Gordo,2016-06-22T17:13:22Z,,,
Don't Tell 'Em,Jeremih YG,Late Nights: The Album,2016-06-22T17:13:22Z,,,
Kknow Me,Marshmello,Joytime,2016-06-22T17:13:22Z,,,
Ima Boss - feat. Rick Ross,Meek Mill,"MMG Presents: Self Made, Vol. 1",2016-06-22T17:13:22Z,,,
Nope (feat. ShayGray),Borgore DOTcom ShayGray,The Buygore Album,2016-06-22T17:13:22Z,,,
Just A Lil' Thick (She Juicy),Trinidad James Mystikal Lil Dicky,Just A Lil' Thick (She Juicy),2016-06-22T17:13:22Z,,,
Booty Loose (feat. Fly Boi Keno),Party Favor Fly Boi Keno,Booty Loose (feat. Fly Boi Keno),2016-06-22T17:13:22Z,,,
Maybe,Carmada,Maybe,2016-06-22T17:13:22Z,,,
Slappin,E-40 Nef The Pharaoh D.R.A.M.,Slappin,2016-06-22T17:13:22Z,,,
Express Yourself (feat. Nicky Da B),Diplo Nicky Da B,Random White Dude Be Everywhere,2016-06-22T17:13:22Z,,,
First Of The Year (Equinox),Skrillex,More Monsters and Sprites EP,2016-06-22T17:13:22Z,,,
Trap Queen (feat. Quavo & Gucci Mane),Fetty Wap Gucci Mane Quavo,Trap Queen (feat. Quavo & Gucci Mane),2016-06-22T17:13:22Z,,,
Find Me,Marshmello,Joytime,2016-06-22T17:13:22Z,,,
Look At My Dab,Migos,Look At My Dab,2016-06-22T17:13:22Z,,,
Versace,Migos,Young Rich N*ggas,2016-06-22T17:13:22Z,,,
Movin' Bass - GTA Remix,Rick Ross JAY Z,Movin' Bass (GTA Remix),2016-06-22T17:13:22Z,,,
Hot N*gga,Bobby Shmurda,Hot N*gga,2016-06-22T17:13:22Z,,,
Fame - Bonus Track,Borgore,#NEWGOREORDER LUXE (Deluxe Edition),2016-06-22T17:13:22Z,,,
DJ Turn It Up,Yellow Claw,Amsterdam Twerk Music,2016-06-22T17:13:22Z,,,
Truffle Butter,Nicki Minaj Drake Lil Wayne,Truffle Butter,2016-06-22T17:13:22Z,,,
TECHNO (feat. Waka Flocka Flame),LNY TNZ Diplo Yellow Claw Waka Flocka Flame,Random White Dude Be Everywhere,2016-06-22T17:13:22Z,,,
Wild for the Night,A$AP Rocky Skrillex Birdy Nam Nam,LONG.LIVE.A$AP (Deluxe Version),2016-06-22T17:13:22Z,,,
Clique,Kanye West JAY Z Big Sean,Clique,2016-06-22T17:13:22Z,,,
Monster,Meek Mill,Monster,2016-06-22T17:13:22Z,,,
No Requests (feat. KRS-One),Datsik KRS-One,Down 4 My Ninjas,2016-06-22T17:13:22Z,,,
Body and Soul (feat. Yael),Borgore Yael,#NEWGOREORDER LUXE (Deluxe Edition),2016-06-22T17:13:22Z,,,
3rd degree,Axel Boy,3rd Degree - EP,2016-06-22T17:13:22Z,,,
Be the One,Axel Boy,3rd Degree - EP,2016-06-22T17:13:22Z,,,
Money Longer,Lil Uzi Vert,Money Longer,2016-06-22T17:13:22Z,,,
Internet Friends,Knife Party,100% No Modern Talking,2016-06-22T17:13:22Z,,,
When We Were Young - Zomboy Remix,Dillon Francis Sultan + Shepard The Chain Gang Of 1974,When We Were Young (Remixes),2016-06-22T17:13:22Z,,,
Bake Sale (feat. Travis Scott),Wiz Khalifa Travi$ Scott,Bake Sale (feat. Travis Scott),2016-06-22T17:13:22Z,,,
Turn Around,Borgore Dan Farber,#NEWGOREORDER LUXE (Deluxe Edition),2016-06-22T17:13:22Z,,,
Apollo,Lookas,Apollo,2016-06-22T17:13:22Z,,,
Trap Life,Tomsize,Trap Life,2016-06-22T17:13:22Z,,,
Slow Down,"Spanker DJ Snake, Yellow Claw & Spanker DJ Snake Yellow Claw",Amsterdam Twerk Music,2016-06-22T17:13:22Z,,,
We Dem Boyz,Wiz Khalifa,Blacc Hollywood (Deluxe),2016-06-22T17:13:22Z,,,
Mula Remix,Big Sean 2 Chainz Meek Mill Earlly Mac,Hall Of Fame (Deluxe),2016-06-22T17:13:22Z,,,
Tony,LOUDPVCK Gladiator Nipsey Hussle,Tony,2016-06-22T17:13:22Z,,,
Wild - VIP,"Snails, Antiserum",Wild Remixes,2016-06-22T17:13:22Z,,,
Nice Flow - Original Mix,Smookie Illson Fly Boy Keno,Nice Flow,2016-06-22T17:13:22Z,,,
Shotgun,Yellow Claw Rochelle,Shotgun,2016-06-22T17:13:22Z,,,
"TTG [Trained To Go] - feat. French Montana, YG Hootie, Joe Moses & Baby Bomb [Explicit Album Version]",Waka Flocka Flame,Flockaveli,2016-06-22T17:13:22Z,,,
Forever,Drake Kanye West Lil Wayne Eminem,More Than A Game (Explicit Version),2016-06-22T17:13:22Z,,,
The Motto,Drake Lil Wayne,The Motto (Explicit Version),2016-06-22T17:13:22Z,,,
Back Up,Dej Loaf Big Sean,#AndSeeThatsTheThing,2016-06-22T17:13:22Z,,,
They Don't Love You No More,DJ Khaled JAY Z Meek Mill Rick Ross French Montana,I Changed A Lot (Deluxe),2016-06-22T17:13:22Z,,,
Mosh Pit,Flosstradamus Casino,Mosh Pit (The Remixes),2016-06-22T17:13:22Z,,,
Crank It (feat. Lil' Jon),Ghastly Mija Lil Jon,OWSLA Presents EGGNOG,2016-06-22T17:13:22Z,,,
Love Myself,Hailee Steinfeld,Love Myself,2016-06-20T16:43:14Z,,,
"Can't Stop the Feeling! (Original Song from DreamWorks Animation ""TROLLS"")",Justin Timberlake,"Can't Stop the Feeling! (Original Song from DreamWorks Animation ""TROLLS"")",2016-06-24T16:20:01Z,,,
Once in a While,Timeflies,Once in a While,2016-06-20T16:43:14Z,,,
Roses,The Chainsmokers ROZES,Roses,2016-06-20T16:43:14Z,,,
Ride,Twenty One Pilots,Blurryface,2016-06-24T16:45:41Z,,,
Little Bit,Perrin Lamb,Back to You,2016-06-20T16:43:14Z,,,
Cake By The Ocean,DNCE,SWAAY,2016-06-20T16:43:14Z,,,
Rather Be (feat. Jess Glynne),Clean Bandit Jess Glynne,Rather Be (feat. Jess Glynne),2016-06-20T16:43:14Z,,,
Bonbon,Era Istrefi,Bonbon,2016-06-24T15:42:24Z,,,
The Ocean,Mike Perry Shy Martin,The Ocean,2016-06-20T16:43:14Z,,,
One Dance,Drake Wiz Kid Kyla,Views,2016-06-20T16:43:14Z,,,
Looking Up,SafetySuit,Looking Up,2016-06-20T16:43:14Z,,,
Bright,Echosmith,Talking Dreams,2016-06-20T16:43:14Z,,,
Not Too Young,Sabina Ddumba,Not Too Young,2016-06-20T16:43:14Z,,,
